"Time (ms)","Recording (a.u.)"
1.929239744E1,2.136230469E-4
1.931323156E1,0.000000000E0
1.933406568E1,1.831054688E-4
1.935489981E1,2.441406250E-4
1.937573393E1,1.220703125E-4
1.939656805E1,1.220703125E-4
1.941740217E1,1.831054688E-4
1.943823630E1,2.441406250E-4
1.945907042E1,9.155273438E-5
1.947990454E1,2.441406250E-4
1.950073866E1,6.103515625E-5
1.952157279E1,2.746582031E-4
1.954240691E1,1.220703125E-4
1.956324103E1,1.220703125E-4
1.958407515E1,1.831054688E-4
1.960490928E1,1.220703125E-4
1.962574340E1,1.525878906E-4
1.964657752E1,9.155273438E-5
1.966741164E1,1.831054688E-4
1.968824577E1,1.831054688E-4
1.970907989E1,1.525878906E-4
1.972991401E1,9.155273438E-5
1.975074813E1,1.831054688E-4
1.977158226E1,2.136230469E-4
1.979241638E1,9.155273438E-5
1.981325050E1,9.155273438E-5
1.983408462E1,1.220703125E-4
1.985491875E1,1.220703125E-4
1.987575287E1,6.103515625E-5
1.989658699E1,6.103515625E-5
1.991742111E1,-6.103515625E-5
1.993825524E1,3.051757812E-5
1.995908936E1,-3.051757812E-5
1.997992348E1,-9.155273438E-5
2.000075760E1,-3.051757812E-5
2.002159173E1,-1.525878906E-4
2.004242585E1,-1.525878906E-4
2.006325997E1,-1.220703125E-4
2.008409409E1,-2.136230469E-4
2.010492822E1,-2.441406250E-4
2.012576234E1,-1.831054688E-4
2.014659646E1,-2.136230469E-4
2.016743058E1,-3.356933594E-4
2.018826471E1,-1.831054688E-4
2.020909883E1,-3.662109375E-4
2.022993295E1,-3.662109375E-4
2.025076707E1,-2.441406250E-4
2.027160120E1,-3.356933594E-4
2.029243532E1,-3.051757812E-4
2.031326944E1,-3.356933594E-4
2.033410356E1,-3.051757812E-4
2.035493769E1,-3.051757812E-4
2.037577181E1,-4.272460938E-4
2.039660593E1,-3.051757812E-4
2.041744005E1,-4.272460938E-4
2.043827418E1,-3.967285156E-4
2.045910830E1,-3.356933594E-4
2.047994242E1,-3.967285156E-4
2.050077654E1,-2.746582031E-4
2.052161067E1,-3.356933594E-4
2.054244479E1,-3.051757812E-4
2.056327891E1,-3.967285156E-4
2.058411303E1,-2.441406250E-4
2.060494716E1,-4.577636719E-4
2.062578128E1,-3.662109375E-4
2.064661540E1,-3.967285156E-4
2.066744952E1,-3.967285156E-4
2.068828365E1,-4.882812500E-4
2.070911777E1,-4.882812500E-4
2.072995189E1,-4.272460938E-4
2.075078601E1,-3.662109375E-4
2.077162014E1,-5.493164062E-4
2.079245426E1,-5.187988281E-4
2.081328838E1,-3.662109375E-4
